#{"t_start": 1713718523.670062, "env_id": "ALE/Breakout-v5"}
r,l,t
5.0,362,3353.058203
1.0,195,3356.93975
1.0,204,3361.099154
1.0,214,3365.326172
3.0,315,3372.564356
4.0,312,3379.817957
2.0,236,3383.940943
5.0,406,3393.296835
1.0,192,3397.017283
4.0,299,3403.527302
2.0,275,3408.968421
0.0,180,3411.710406
1.0,210,3415.723166
2.0,260,3420.875085
3.0,274,3427.66693
2.0,232,3433.19383
2.0,228,3438.51088
0.0,174,3441.331181
2.0,234,3446.709671
4.0,319,3453.610718
4.0,294,3459.56466
0.0,156,3462.473213
3.0,277,3467.715175
3.0,310,3474.115667
3.0,286,3480.259574
2.0,246,3485.236332
2.0,238,3489.66178
2.0,224,3494.547746
0.0,176,3497.489098
2.0,234,3502.428329
4.0,312,3509.172529
3.0,290,3515.362909
2.0,245,3520.152731
2.0,255,3525.463961
2.0,261,3530.86465
2.0,218,3535.514549
1.0,193,3539.037264
3.0,273,3544.3789
3.0,288,3550.066407
1.0,218,3554.033927
1.0,186,3557.649401
4.0,300,3564.3122
1.0,216,3568.295966
1.0,204,3572.440647
1.0,195,3576.138515
2.0,228,3581.148675
3.0,291,3587.700348
1.0,204,3591.958799
4.0,325,3598.301716
4.0,305,3605.288564
0.0,158,3608.300421
0.0,161,3611.447274
3.0,305,3618.115361
3.0,260,3623.559239
2.0,235,3628.02849
0.0,161,3630.687403
2.0,255,3635.543877
0.0,175,3638.28218
1.0,181,3642.073901
2.0,208,3646.274039
3.0,287,3652.618682
1.0,210,3656.306299
0.0,164,3659.064986
1.0,201,3663.02225
4.0,314,3670.799077
3.0,269,3676.542877
1.0,196,3680.561686
3.0,275,3686.13077
2.0,234,3690.931591
0.0,175,3694.18874
2.0,210,3698.302218
2.0,252,3703.905683
2.0,228,3708.592768
4.0,325,3716.019639
5.0,364,3724.4048
3.0,283,3730.908833
1.0,216,3734.663638
0.0,160,3737.983752
0.0,161,3740.377875
3.0,296,3747.291648
1.0,196,3750.918969
2.0,250,3755.944804
4.0,335,3763.907501
1.0,220,3768.086059
0.0,157,3770.463253
0.0,167,3773.26103
5.0,365,3781.522401
1.0,220,3785.350494
1.0,185,3789.038536
0.0,178,3791.848023
0.0,150,3794.623778
3.0,278,3800.673905
2.0,211,3805.278993
3.0,296,3811.80938
7.0,454,3822.352441
4.0,312,3829.191881
4.0,311,3836.155794
1.0,201,3839.874931
2.0,231,3844.511541
0.0,171,3847.760448
0.0,176,3850.530637
2.0,250,3855.687628
3.0,282,3862.039449
0.0,157,3864.810943
1.0,210,3869.036276
4.0,311,3876.333334
1.0,218,3880.076927
2.0,230,3884.645517
1.0,187,3888.354763
5.0,369,3896.664722
2.0,256,3902.158206
2.0,231,3906.763577
1.0,196,3910.395613
3.0,268,3916.38066
1.0,191,3920.512047
4.0,304,3927.443241
0.0,173,3930.257189
2.0,260,3935.768981
6.0,418,3945.40575
7.0,445,3955.94415
3.0,255,3961.017871
1.0,199,3964.704146
1.0,208,3968.456002
3.0,259,3974.38321
1.0,202,3978.499895
1.0,201,3982.200731
2.0,238,3986.75897
0.0,169,3989.637934
1.0,196,3993.720456
3.0,271,3999.783261
1.0,206,4003.891665
2.0,260,4009.006571
2.0,241,4014.085073
0.0,159,4016.835159
0.0,165,4020.060195
1.0,218,4023.7691
2.0,230,4028.448286
2.0,241,4033.60185
0.0,181,4036.35365
3.0,259,4042.417982
8.0,466,4053.89582
1.0,198,4057.567997
3.0,269,4064.178822
0.0,175,4066.941244
3.0,283,4072.856451
1.0,206,4076.968559
7.0,476,4088.540254
2.0,268,4094.120951
0.0,153,4096.445037
2.0,222,4101.466465
4.0,330,4108.389827
3.0,288,4115.055711
1.0,211,4119.200222
3.0,309,4125.627811
2.0,227,4130.297625
3.0,272,4135.906914
1.0,195,4140.133294
1.0,211,4143.966439
4.0,343,4152.233996
3.0,273,4158.242325
1.0,188,4162.078345
5.0,363,4170.015455
1.0,197,4174.214785
1.0,206,4177.951851
0.0,140,4179.8705
3.0,287,4186.277327
4.0,291,4193.191929
2.0,230,4197.835656
2.0,249,4203.396358
0.0,176,4206.17853
2.0,247,4210.832745
4.0,297,4217.933264
3.0,275,4223.490673
2.0,273,4228.976791
2.0,239,4234.020633
0.0,145,4236.805202
0.0,178,4239.651124
3.0,276,4245.618579
1.0,201,4249.397865
3.0,275,4255.825884
2.0,253,4260.882633
6.0,422,4271.554908
1.0,194,4275.209941
2.0,254,4280.262876
3.0,248,4285.881165
2.0,232,4290.543751
1.0,171,4293.799831
2.0,227,4298.408836
6.0,428,4308.614048
4.0,328,4315.969415
1.0,193,4319.655646
1.0,183,4323.302968
0.0,174,4326.111035
2.0,242,4331.135388
3.0,268,4337.2275
1.0,211,4341.363287
1.0,203,4345.114978
3.0,286,4351.154413
1.0,190,4354.848717
5.0,356,4363.183044
2.0,222,4367.873267
1.0,229,4372.013974
2.0,258,4377.06559
3.0,310,4383.503401
5.0,352,4391.517085
0.0,165,4394.694645
2.0,236,4399.340414
2.0,230,4404.454189
9.0,443,4415.143047
3.0,272,4420.852306
2.0,255,4426.333628
5.0,363,4434.627113
0.0,150,4436.519981
1.0,198,4440.747485
0.0,172,4443.54001
1.0,190,4447.275095
2.0,227,4451.915354
2.0,257,4457.073008
1.0,181,4460.329038
1.0,216,4464.521864
3.0,280,4470.507633
2.0,252,4476.190334
0.0,175,4479.03268
4.0,325,4486.020275
2.0,241,4491.147637
6.0,376,4500.418246
1.0,195,4503.666022
2.0,250,4508.807461
1.0,196,4512.519559
4.0,346,4520.167362
0.0,155,4522.498636
2.0,254,4528.147781
2.0,231,4532.855279
1.0,209,4536.716215
9.0,408,4546.42845
2.0,218,4551.070621
1.0,194,4555.239714
0.0,179,4558.046422
2.0,247,4563.209054
0.0,145,4565.563011
0.0,154,4568.342952
2.0,234,4573.000701
1.0,178,4576.659812
4.0,338,4584.60956
2.0,246,4589.310369
2.0,220,4593.98669
2.0,243,4599.091458
0.0,166,4601.411932
