#{"t_start": 1713662304.067028, "env_id": "ALE/Breakout-v5"}
r,l,t
2.0,230,2598.08957
5.0,379,2606.595985
1.0,209,2610.531565
4.0,298,2616.916334
1.0,211,2620.38511
0.0,168,2623.098042
0.0,165,2625.836526
3.0,293,2631.985539
3.0,279,2637.272991
2.0,229,2641.496347
3.0,276,2646.981335
1.0,212,2650.097984
1.0,192,2653.187966
3.0,294,2658.595409
3.0,285,2663.600414
2.0,254,2667.832529
0.0,158,2669.788433
3.0,268,2674.773258
2.0,212,2678.278629
2.0,241,2682.152917
1.0,205,2685.730036
1.0,198,2689.571696
2.0,236,2693.772844
5.0,380,2702.245696
1.0,206,2705.617317
4.0,346,2712.777438
5.0,381,2720.842322
1.0,217,2724.244706
1.0,193,2727.688725
1.0,203,2731.373074
2.0,254,2736.449308
1.0,191,2740.051985
1.0,209,2743.642837
2.0,229,2747.90486
0.0,163,2750.495505
2.0,245,2754.592229
2.0,224,2759.885639
3.0,269,2766.143773
4.0,322,2773.263914
2.0,241,2777.676111
0.0,178,2780.433619
2.0,242,2783.955162
1.0,199,2787.191929
2.0,225,2790.782361
0.0,160,2793.026201
1.0,204,2797.359143
3.0,302,2803.437098
2.0,225,2807.063416
1.0,197,2810.176321
2.0,237,2814.435813
3.0,287,2819.405553
5.0,346,2825.550087
2.0,248,2830.135774
2.0,234,2834.348746
1.0,227,2837.807354
1.0,192,2841.609436
2.0,250,2846.177919
4.0,289,2852.194219
0.0,154,2855.121691
2.0,259,2859.83059
3.0,297,2866.276681
3.0,277,2871.757445
1.0,213,2875.723974
7.0,349,2883.095343
1.0,196,2886.987461
0.0,158,2889.483287
0.0,161,2891.960567
1.0,195,2895.848275
0.0,156,2898.388354
2.0,248,2903.160611
1.0,201,2906.242872
0.0,164,2908.761187
4.0,298,2914.302929
3.0,263,2919.507618
4.0,325,2926.417929
2.0,256,2931.264653
1.0,182,2934.768462
2.0,234,2939.047998
0.0,155,2941.541388
2.0,239,2946.096359
1.0,183,2949.386698
2.0,232,2953.033996
2.0,242,2957.477565
0.0,174,2960.015136
0.0,171,2962.580322
2.0,224,2966.773441
2.0,246,2971.871737
0.0,159,2974.503658
4.0,328,2981.253387
4.0,309,2988.203298
3.0,274,2994.002426
1.0,195,2997.438183
2.0,250,3002.164433
2.0,223,3006.328855
2.0,226,3010.82921
0.0,166,3013.833429
3.0,272,3019.109195
2.0,217,3023.376627
2.0,258,3028.082087
1.0,222,3032.098248
3.0,299,3038.625139
6.0,378,3047.137026
3.0,285,3052.263314
0.0,180,3055.223933
2.0,231,3059.380785
2.0,221,3063.973871
0.0,151,3065.778679
4.0,320,3072.784579
4.0,327,3078.870244
6.0,456,3089.457599
1.0,195,3092.544282
2.0,242,3097.45515
2.0,229,3102.332331
0.0,160,3105.06188
1.0,199,3109.048865
2.0,227,3113.068715
1.0,215,3116.935385
3.0,292,3122.641855
